date_id,day,month,year,quarter
290,13,6,1970,2
291,4,4,1970,1
292,11,4,1970,1
293,14,8,1970,2
294,16,7,1970,2
295,1,8,1970,2
296,14,7,1970,2
297,29,8,1970,2
298,14,3,1970,1
299,28,3,1970,1
300,10,4,1970,1
301,11,6,1970,2
302,12,11,1970,3
303,28,1,1970,1
304,25,3,1970,1
305,9,2,1970,1
306,26,1,1970,1
307,7,10,1970,3
308,10,1,1970,1
309,19,12,1970,3
310,11,5,1970,2
311,23,3,1970,1
312,26,12,1970,3
313,4,1,1970,1
314,26,8,1970,2
315,3,8,1970,2
316,1,6,1970,2
317,15,2,1970,1
318,15,5,1971,2
319,3,5,1971,2
320,5,7,1971,2
321,22,8,1971,2
322,27,1,1971,1
323,1,8,1971,2
324,14,4,1971,1
325,10,10,1971,3
326,14,6,1971,2
327,10,7,1971,2
328,24,7,1971,2
329,14,2,1971,1
330,7,4,1971,1
331,25,4,1971,1
332,1,3,1971,1
333,29,3,1971,1
334,22,3,1971,1
335,7,3,1971,1
336,1,12,1971,3
337,14,11,1971,3
338,7,6,1971,2
339,3,8,1971,2
340,19,7,1971,2
341,18,4,1971,1
342,17,10,1971,3
343,21,3,1971,1
344,22,5,1971,2
345,8,11,1971,3
346,21,2,1971,1
347,1,5,1971,2
348,21,4,1971,1
349,23,1,1971,1
350,9,2,1971,1
351,20,4,1971,1
352,5,4,1971,1
353,17,5,1971,2
354,8,8,1971,2
355,17,7,1971,2
356,10,8,1971,2
357,2,8,1971,2
358,20,9,1971,3
359,27,9,1971,3
360,18,10,1971,3
361,1,11,1971,3
362,21,5,1971,2
363,21,6,1971,2
364,1,9,1971,3
365,4,12,1971,3
366,18,11,1971,3
367,30,3,1971,1
368,4,4,1971,1
369,24,9,1971,3
370,10,1,1971,1
371,9,8,1971,2
372,27,8,1971,2
373,7,2,1971,1
374,28,4,1971,1
375,13,12,1971,3
376,24,4,1971,1
377,24,3,1971,1
378,30,4,1971,1
379,24,5,1971,2
380,9,4,1971,1
381,20,3,1971,1
382,27,3,1971,1
383,3,4,1971,1
384,23,4,1971,1
385,14,5,1971,2
386,22,4,1971,1
387,16,4,1971,1
388,21,8,1971,2
389,28,5,1971,2
390,7,5,1971,2
391,19,3,1971,1
392,26,3,1971,1
393,11,6,1971,2
394,16,7,1971,2
395,10,6,1971,2
396,2,4,1971,1
397,6,5,1971,2
398,8,5,1971,2
399,4,6,1971,2
400,13,5,1971,2
401,8,10,1971,3
402,31,5,1971,2
403,28,3,1971,1
404,4,2,1971,1
405,6,12,1971,3
406,18,1,1971,1
407,18,11,1972,3
408,21,1,1972,1
409,16,4,1972,1
410,10,7,1972,2
411,27,8,1972,2
412,1,2,1972,1
413,17,9,1972,3
414,16,1,1973,1
415,22,10,1972,3
416,23,6,1972,2
417,30,7,1972,2
418,1,10,1972,3
419,29,10,1972,3
420,26,11,1972,3
421,14,2,1972,1
422,28,2,1972,1
423,6,2,1972,1
424,22,1,1972,1
425,28,3,1972,1
426,2,12,1972,3
427,20,2,1972,1
428,1,12,1972,3
429,24,6,1972,2
430,17,6,1972,2
431,16,7,1972,2
432,22,7,1972,2
433,13,8,1972,2
434,3,12,1972,3
435,3,1,1972,1
436,23,7,1972,2
437,17,3,1972,1
438,13,5,1972,2
439,30,4,1972,1
440,8,2,1972,1
441,9,4,1972,1
442,14,5,1972,2
443,13,11,1972,3
444,27,3,1972,1
445,1,5,1972,2
446,5,6,1972,2
447,24,4,1972,1
448,6,7,1972,2
449,12,7,1972,2
450,7,8,1972,2
451,14,8,1972,2
452,31,7,1972,2
453,18,9,1972,3
454,25,9,1972,3
455,23,10,1972,3
456,4,11,1972,3
457,23,4,1972,1
458,5,11,1972,3
459,22,5,1972,2
460,26,6,1972,2
461,30,8,1972,2
462,26,12,1971,3
463,28,11,1972,3
464,10,5,1972,2
465,17,4,1972,1
466,1,7,1972,2
467,20,8,1972,2
468,5,3,1972,1
469,25,7,1972,2
470,29,7,1972,2
471,6,10,1972,3
472,9,7,1972,2
473,1,9,1972,3
474,6,3,1972,1
475,16,1,1972,1
